DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Critical Readng Avg. Score,internal_school_id,contact_extension,pct_students_tested,academic_tier_rating
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,416,954823,x345,92%,4
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,850,370,371,365679,,78%,4
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s,s,s,355018,x345,85%,4
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358,370,731158,x234,N/A,4
03M479,BEACON HIGH SCHOOL,261,577,575,592,577,678328,x234,92%,2
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577,566,567972,x345,92%,3
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402,396,778640,x345,92%,2
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411,433,921952,,85%,1
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351,401,635847,x234,92%,3
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467,473,955192,x123,78%,2
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s,s,s,412494,,85%,2
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361,356,503561,x345,92%,2
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373,354,379117,x123,92%,3
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455,461,292563,x123,85%,1
04M495,PARK EAST HIGH SCHOOL,51,373,379,376,373,671970,,N/A,2
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395,405,970677,x345,78%,2
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,432,880781,x234,92%,1
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,369,968745,x234,92%,2
04M680,"HERITAGE SCHOOL, THE",31,358,351,345,358,141965,,78%,3
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,357,737575,x234,92%,3
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,413,296405,x123,78%,2
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,s,s,206377,x234,N/A,4
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342,354,680647,x345,78%,3
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364,360,442306,x234,85%,3
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385,354,594021,x234,85%,4
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442,458,813534,x123,92%,1
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404,396,530977,x345,92%,3
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355,369,371377,x123,N/A,
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,605,302370,,78%,1
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416,408,604767,x234,N/A,3
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367,362,654733,,N/A,2
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399,380,339162,x123,78%,1
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s,s,s,973050,x123,92%,
06M457,GEORGE WASHINGTON YABC,7,394,357,346,394,381754,,92%,4
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378,365,933430,,N/A,
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349,369,131970,x123,92%,3
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,363,344969,x234,78%,2
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,400,842071,x123,78%,1
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,430,547675,x123,78%,3
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326,339,603045,,78%,2
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,364,277389,x345,92%,
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,379,821462,,92%,4
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,310,791798,,85%,4
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s,s,s,282379,x345,92%,
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s,s,s,540360,x234,78%,4
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,361,460390,x234,92%,1
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371,351,922114,x345,78%,1
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404,403,913548,x234,85%,3
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411,420,852272,x123,85%,2
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,399,458204,x345,N/A,3
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363,362,553153,x345,N/A,4
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361,367,113401,x123,92%,
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,387,875037,x345,N/A,2
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407,413,412580,x234,92%,3
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,394,327975,x123,78%,1
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,398,723932,,N/A,1
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,363,599605,x345,85%,
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s,s,s,720196,x345,92%,
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378,407,620873,x345,N/A,2
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389,384,908269,x123,78%,2
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394,416,939020,,78%,
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,337,159654,x123,78%,2
08X312,MILLENNIUM ART ACADEMY,67,387,402,375,387,635239,x234,78%,1
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,363,953485,x123,78%,1
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s,s,s,386522,x234,85%,1
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s,s,s,314160,,N/A,3
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376,367,146673,x123,N/A,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,412,534496,x234,92%,2
08X408,HERBERT H. LEHMAN YABC,6,402,373,413,402,399276,x123,85%,2
08X432,BRONX BRIDGES HIGH SCHOOL,s,s,s,s,s,108789,,78%,1
08X452,BRONX GUILD,39,369,371,365,369,915453,x234,N/A,1
08X507,STEVENSON YABC,s,s,s,s,s,115369,,85%,
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356,373,719359,,N/A,3
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,373,189134,x345,92%,3
08X537,BRONX ARENA HIGH SCHOOL,s,s,s,s,s,285492,x234,78%,2
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,366,504978,,78%,4
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,404,906309,x234,78%,2
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,377,411110,x234,78%,
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349,324,958742,x123,92%,
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374,373,831788,x123,78%,4
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357,372,746616,x345,85%,4
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415,411,430330,x234,85%,2
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382,393,183756,x345,78%,4
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,369,183078,x345,85%,4
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457,459,840464,x234,85%,
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356,356,250874,x123,92%,
09X276,LEADERSHIP INSTITUTE,30,361,353,367,361,601974,x234,85%,3
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376,386,593297,x123,92%,1
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s,s,s,120251,x234,85%,3
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391,382,559037,x234,85%,4
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297,315,289455,,N/A,1
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339,314,792726,x345,78%,4
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351,363,738581,x234,85%,2
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351,356,160081,x234,85%,1
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402,400,769242,,92%,4
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379,379,270670,x123,85%,2
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402,404,568598,x345,N/A,4
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369,368,898217,x345,85%,3
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,384,906925,x234,92%,1
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371,353,788221,x345,85%,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440,438,718131,x123,78%,
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365,373,163342,x345,N/A,4
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,-10,394,405,827176,x345,78%,
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382,382,652542,x345,78%,1
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370,382,532813,x123,92%,2
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,304,127586,x234,92%,2
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385,402,105294,x123,N/A,2
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s,s,172549,x345,92%,
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301,300,421471,x123,78%,
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383,390,503135,,85%,3
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387,392,909525,x345,N/A,2
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330,343,567351,x123,78%,
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,370,538852,x345,85%,1
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,404,730850,,78%,
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,355,438977,,85%,
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367,367,918302,x345,78%,4
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,366,869041,x234,N/A,2
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,419,367828,x234,85%,
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,423,202180,x345,N/A,1
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,632,816688,,N/A,
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339,351,828171,x345,78%,3
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414,414,782106,x345,78%,3
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,s,s,405704,x345,85%,
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,348,794120,x345,78%,4
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,372,410088,x234,N/A,
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,362,370212,,85%,
10X667,GRACE DODGE YABC,10,350,356,317,350,220963,x345,N/A,4
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,636,276137,x345,N/A,1
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,370,264250,,N/A,4
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,400,176092,x123,N/A,3
11X265,BRONX LAB SCHOOL,81,377,391,367,377,350123,x123,78%,4
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,386,112591,x234,85%,3
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,381,244509,x123,N/A,3
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,444,929871,,92%,3
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,387,465490,x345,78%,4
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,387,421151,x345,92%,
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,367,222860,x345,N/A,
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s,s,766286,x123,92%,4
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,419,754398,x345,78%,
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,386,913285,x234,78%,1
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s,s,s,436202,,N/A,4
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,332,406117,x345,78%,3
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,377,364885,,85%,2
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,372,781847,x234,85%,4
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,431,229514,,N/A,2
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,383,330785,,92%,4
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,388,312943,x234,N/A,2
12X245,NEW DAY ACADEMY,25,348,344,354,348,827833,x234,85%,2
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,347,653086,,85%,1
12X251,EXPLORATIONS ACADEMY,57,381,381,360,381,183547,x345,N/A,2
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,361,105176,x123,85%,
12X267,BRONX LATIN,36,408,432,411,408,871863,,85%,1
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,366,267221,,N/A,3
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,390,461474,,85%,3
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,321,963012,x234,85%,3
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s,s,s,714682,x123,92%,
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,380,744847,x123,78%,4
12X478,THE CINEMA SCHOOL,s,s,s,s,s,153298,x345,85%,
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s,s,454198,x123,85%,1
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,398,820126,x123,N/A,3
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,304,502593,x234,85%,3
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341,342,620341,,N/A,3
12X684,WINGS ACADEMY,66,378,374,362,378,622580,x345,N/A,
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376,375,489113,x123,92%,2
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349,332,120278,x234,N/A,2
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,352,428147,,N/A,1
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418,439,854662,x345,78%,2
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,360,185326,x123,78%,1
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384,375,714886,,78%,3
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395,399,160939,x234,92%,3
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,587,898973,x234,N/A,4
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,305,220419,,N/A,
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,400,702270,x234,92%,2
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368,384,987014,x234,92%,1
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403,400,856792,x345,N/A,3
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s,s,993861,x123,78%,2
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,435,967293,x345,N/A,2
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,398,684044,x345,92%,1
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431,438,805113,,85%,
