"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","pct_students_tested","academic_tier_rating"
"03M541","MANHATTAN / HUNTER SCIENCE HIGH SCHOOL","111","473","506","467","955192","0.78","2"
"03M860","FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","43","356","379","361","503561","0.92","2"
"04M409","COALITION SCHOOL FOR SOCIAL CHANGE","48","354","357","373","379117","0.92","3"
"04M435","MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS","375","461","514","455","292563","0.85","1"
"04M495","PARK EAST HIGH SCHOOL","51","373","379","376","671970","0","2"
"04M555","CENTRAL PARK EAST HIGH SCHOOL","73","405","421","395","970677","0.78","2"
"04M610","YOUNG WOMEN'S LEADERSHIP SCHOOL","70","432","446","448","880781","0.92","1"
"04M635","ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL","48","369","369","357","968745","0.92","2"
"04M680","HERITAGE SCHOOL, THE","31","358","351","345","141965","0.78","3"
"05M285","HARLEM RENAISSANCE HIGH SCHOOL","29","357","318","333","737575","0.92","3"
"05M304","MOTT HALL HIGH SCHOOL","54","413","399","398","296405","0.78","2"
"05M367","ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL","33","354","366","342","680647","0.78","3"
"05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS","56","360","353","364","442306","0.85","3"
"05M469","CHOIR ACADEMY OF HARLEM","20","354","360","385","594021","0.85","4"
"05M499","FREDERICK DOUGLASS ACADEMY","214","458","474","442","813534","0.92","1"
"05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE","66","396","402","404","530977","0.92","3"
"05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL","61","369","361","355","371377","0",""
"05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE","101","605","654","588","302370","0.78","1"
"06M293","CITY COLLEGE ACADEMY OF THE ARTS","60","408","446","416","604767","0","3"
"06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS","55","362","376","367","654733","0","2"
"06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL","70","380","395","399","339162","0.78","1"
"06M457","GEORGE WASHINGTON YABC","7","394","357","346","381754","0.92","4"
"06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE","76","365","384","378","933430","0",""
"06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS","63","369","380","349","131970","0.92","3"
"06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE","94","363","378","361","344969","0.78","2"
"06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES","24","400","422","402","842071","0.78","1"
"06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL","228","430","456","423","547675","0.78","3"
"06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS","56","339","349","326","603045","0.78","2"
"07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL","65","364","378","348","277389","0.92",""
"07X321","CROTONA ACADEMY HIGH SCHOOL","9","379","364","382","821462","0.92","4"
"07X334","INTERNATIONAL COMMUNITY HIGH SCHOOL","34","310","324","311","791798","0.85","4"
"07X427","COMMUNITY SCHOOL FOR SOCIAL JUSTICE","43","361","359","357","460390","0.92","1"
"07X473","MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL","63","351","375","371","922114","0.78","1"
"07X495","UNIVERSITY HEIGHTS SECONDARY SCHOOL","79","403","394","404","913548","0.85","3"
"07X500","HOSTOSsLINCOLN ACADEMY OF SCIENCE","66","420","426","411","852272","0.85","2"
"07X520","FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES","64","399","396","391","458204","0","3"
"07X527","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL","62","362","378","363","553153","0","4"
"07X547","NEW EXPLORERS HIGH SCHOOL","28","367","356","361","113401","0.92",""
"07X548","URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS","44","387","411","383","875037","0","2"
"07X551","BRONX ACADEMY OF LETTERS","51","413","381","407","412580","0.92","3"
"07X600","ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","76","394","400","364","327975","0.78","1"
"07X655","SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","47","398","416","370","723932","0","1"
"07X670","HEALTH OPPORTUNITIES HIGH SCHOOL","114","363","368","364","599605","0.85",""
"08X282","WOMEN'S ACADEMY OF EXCELLENCE","44","407","386","378","620873","0","2"
"08X293","RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY","52","384","385","389","908269","0.78","2"
"20K658","FRANKLIN DELANO ROOSEVELT YABC","18","338","477","316","361605","0.78","3"
"08X295","GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY","41","416","390","394","939020","0.78",""
"08X305","PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES","67","337","361","340","159654","0.78","2"
"08X312","MILLENNIUM ART ACADEMY","67","387","402","375","635239","0.78","1"
"08X332","HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH","39","363","371","350","953485","0.78","1"
"08X377","BRONX COMMUNITY HIGH SCHOOL","9","367","369","376","146673","0",""
"08X405","HERBERT H. LEHMAN HIGH SCHOOL","415","412","436","393","534496","0.92","2"
"08X408","HERBERT H. LEHMAN YABC","6","402","373","413","399276","0.85","2"
"08X452","BRONX GUILD","39","369","371","365","915453","0","1"
"08X519","FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE","68","373","370","356","719359","0","3"
"08X530","BANANA KELLY HIGH SCHOOL","54","373","381","377","189134","0.92","3"
"08X540","SCHOOL FOR COMMUNITY RESEARCH AND LEARNING","16","366","400","368","504978","0.78","4"
"08X560","HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL","9","404","368","399","906309","0.78","2"
"08X650","JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS","78","377","359","376","411110","0.78",""
"09X227","BRONX EXPEDITIONARY LEARNING HIGH SCHOOL","39","324","376","349","958742","0.92",""
"09X231","EAGLE ACADEMY FOR YOUNG MEN","78","373","387","374","831788","0.78","4"
"09X239","URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE","33","372","355","357","746616","0.85","4"
"09X241","URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE","80","411","464","415","430330","0.85","2"
"09X250","EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL","50","393","394","382","183756","0.78","4"
"09X252","MOTT HALL BRONX HIGH SCHOOL","67","369","367","356","183078","0.85","4"
"09X260","BRONX CENTER FOR SCIENCE AND MATHEMATICS","81","459","480","457","840464","0.85",""
"09X263","VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL","74","356","363","356","250874","0.92",""
"09X276","LEADERSHIP INSTITUTE","30","361","353","367","601974","0.85","3"
"09X297","MORRIS ACADEMY FOR COLLABORATIVE STUDIES","38","386","386","376","593297","0.92","1"
"09X329","DREAMYARD PREPARATORY SCHOOL","51","382","365","391","559037","0.85","4"
"09X365","ACADEMY FOR LANGUAGE AND TECHNOLOGY","54","315","339","297","289455","0","1"
"09X403","BRONX INTERNATIONAL HIGH SCHOOL","49","314","312","339","792726","0.78","4"
"09X404","SCHOOL FOR EXCELLENCE","32","363","360","351","738581","0.85","2"
"09X412","BRONX HIGH SCHOOL OF BUSINESS","34","356","376","351","160081","0.85","1"
"09X413","BRONX HIGH SCHOOL FOR MEDICAL SCIENCE","64","400","419","402","769242","0.92","4"
"09X414","JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS","35","379","364","379","270670","0.85","2"
"09X505","BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","80","404","418","402","568598","0","4"
"09X517","FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL","50","368","384","369","898217","0.85","3"
"09X525","BRONX LEADERSHIP ACADEMY HIGH SCHOOL","114","384","394","388","906925","0.92","1"
"09X543","HIGH SCHOOL FOR VIOLIN AND DANCE","27","353","315","371","788221","0.85",""
"10X141","RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)","113","438","455","440","718131","0.78",""
"10X213","BRONX ENGINEERING AND TECHNOLOGY ACADEMY","86","373","412","365","163342","0","4"
"10X237","THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS","79","382","393","382","652542","0.78","1"
"10X243","WEST BRONX ACADEMY FOR THE FUTURE","26","382","406","370","532813","0.92","2"
"10X268","KINGSBRIDGE INTERNATIONAL HIGH SCHOOL","52","304","356","302","127586","0.92","2"
"10X284","BRONX SCHOOL OF LAW AND FINANCE","54","402","395","385","105294","0","2"
"10X342","INTERNATIONAL SCHOOL FOR LIBERAL ARTS","49","300","333","301","421471","0.78",""
"10X368","INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)","111","390","408","383","503135","0.85","3"
"10X374","KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)","61","392","401","387","909525","0","2"
"10X397","ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)","38","343","356","330","567351","0.78",""
"10X433","HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS","57","370","371","365","538852","0.85","1"
"10X434","BELMONT PREPARATORY HIGH SCHOOL","51","404","418","400","730850","0.78",""
"10X437","FORDHAM HIGH SCHOOL FOR THE ARTS","48","355","350","372","438977","0.85",""
"10X438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY","63","367","385","367","918302","0.78","4"
"10X439","BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE","65","366","364","352","869041","0","2"
"10X440","DEWITT CLINTON HIGH SCHOOL","443","419","426","410","367828","0.85",""
"10X442","CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE","52","423","420","427","202180","0","1"
"10X445","BRONX HIGH SCHOOL OF SCIENCE","731","632","688","649","816688","0",""
"10X475","JOHN F. KENNEDY HIGH SCHOOL","109","351","362","339","828171","0.78","3"
"10X477","MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES","99","414","435","414","782106","0.78","3"
"10X546","BRONX THEATRE HIGH SCHOOL","68","348","362","354","794120","0.78","4"
"10X549","DISCOVERY HIGH SCHOOL","55","372","379","364","410088","0",""
"10X660","GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","73","362","382","356","370212","0.85",""
"10X667","GRACE DODGE YABC","10","350","356","317","220963","0","4"
"10X696","HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE","92","636","648","636","276137","0","1"
"11X249","BRONX HEALTH SCIENCES HIGH SCHOOL","74","370","381","382","264250","0","4"
"11X253","BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS","46","400","357","390","176092","0","3"
"11X265","BRONX LAB SCHOOL","81","377","391","367","350123","0.78","4"
"11X270","ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL","56","386","394","361","112591","0.85","3"
"11X275","HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY","72","381","376","354","244509","0","3"
"11X288","COLLEGIATE INSTITUTE FOR MATH AND SCIENCE","97","444","471","433","929871","0.92","3"
"11X290","BRONX ACADEMY OF HEALTH CAREERS","69","387","365","383","465490","0.78","4"
"11X299","ASTOR COLLEGIATE ACADEMY","60","387","391","391","421151","0.92",""
"11X415","CHRISTOPHER COLUMBUS HIGH SCHOOL","121","367","361","353","222860","0",""
"11X418","BRONX HIGH SCHOOL FOR THE VISUAL ARTS","48","419","433","416","754398","0.78",""
"11X455","HARRY S TRUMAN HIGH SCHOOL","189","386","397","368","913285","0.78","1"
"11X513","NEW WORLD HIGH SCHOOL","72","332","381","335","406117","0.78","3"
"11X514","THE BRONXWOOD PREPARATORY ACADEMY","48","377","372","363","364885","0.85","2"
"11X541","GLOBAL ENTERPRISE HIGH SCHOOL","57","372","382","375","781847","0.85","4"
"11X542","PELHAM PREPARATORY ACADEMY","76","431","438","419","229514","0","2"
"11X544","HIGH SCHOOL FOR CONTEMPORARY ARTS","55","383","378","365","330785","0.92","4"
"11X545","BRONX AEROSPACE HIGH SCHOOL","46","388","393","382","312943","0","2"
"12X245","NEW DAY ACADEMY","25","348","344","354","827833","0.85","2"
"12X248","METROPOLITAN HIGH SCHOOL, THE","49","347","367","341","653086","0.85","1"
"12X251","EXPLORATIONS ACADEMY","57","381","381","360","183547","0","2"
"12X262","PERFORMANCE CONSERVATORY HIGH SCHOOL","30","361","353","360","105176","0.85",""
"12X267","BRONX LATIN","36","408","432","411","871863","0.85","1"
"12X271","EAST BRONX ACADEMY FOR THE FUTURE","46","366","378","358","267221","0","3"
"12X278","PEACE AND DIVERSITY ACADEMY","34","390","401","364","461474","0.85","3"
"12X388","PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE","30","321","351","298","963012","0.85","3"
"12X446","ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX","14","380","372","349","744847","0.78","4"
"12X480","BRONX REGIONAL HIGH SCHOOL","16","398","385","398","820126","0","3"
"12X550","HIGH SCHOOL OF WORLD CULTURES","42","304","323","312","502593","0.85","3"
"12X682","FANNIE LOU HAMER FREEDOM HIGH SCHOOL","72","342","346","341","620341","0","3"
"12X684","WINGS ACADEMY","66","378","374","362","622580","0",""
"12X690","MONROE ACADEMY FOR BUSINESS/LAW","31","375","387","376","489113","0.92","2"
"12X692","MONROE ACADEMY FOR VISUAL ARTS & DESIGN","43","332","357","349","120278","0","2"
"13K265","DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS","29","352","349","373","428147","0","1"
"13K336","ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT","9","439","374","418","854662","0.78","2"
"13K350","URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART","52","360","364","356","185326","0.78","1"
"13K412","BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA","37","375","355","384","714886","0.78","3"
"13K419","SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS","92","399","417","395","160939","0.92","3"
"13K430","BROOKLYN TECHNICAL HIGH SCHOOL","1277","587","659","587","898973","0","4"
"13K439","BROOKLYN INTERNATIONAL HIGH SCHOOL","90","305","364","312","220419","0",""
"13K483","THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE","105","400","417","389","702270","0.92","2"
"13K499","ACORN COMMUNITY HIGH SCHOOL","72","384","364","368","987014","0.92","1"
"13K509","FREEDOM ACADEMY HIGH SCHOOL","29","400","390","403","856792","0","3"
"13K553","BROOKLYN ACADEMY HIGH SCHOOL","8","435","383","379","967293","0","2"
"13K575","BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL","13","398","391","394","684044","0.92","1"
"13K595","BEDFORD ACADEMY HIGH SCHOOL","89","438","443","431","805113","0.85",""
"13K605","GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","85","406","391","392","937579","0",""
"13K670","BENJAMIN BANNEKER ACADEMY","185","471","472","448","578072","0","3"
"13K674","CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY","20","441","499","413","760103","0","1"
"14K071","JUAN MOREL CAMPOS SECONDARY SCHOOL","102","365","361","359","257116","0.78","4"
"14K404","ACADEMY FOR YOUNG WRITERS","68","387","357","381","994723","0.78",""
"14K449","BROOKLYN LATIN SCHOOL, THE","72","586","584","570","384706","0.78","2"
"14K454","GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS","41","407","386","396","806744","0","3"
"14K474","PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS","144","364","379","371","445223","0.78","4"
"14K477","SCHOOL FOR LEGAL STUDIES","134","413","396","395","809381","0.78","1"
"14K478","THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY","142","398","421","396","758599","0.78","4"
"14K488","BROOKLYN PREPARATORY HIGH SCHOOL","42","367","373","350","954096","0.78","4"
"14K558","WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN","72","363","385","364","887022","0","4"
"14K561","WILLIAMSBURG PREPARATORY SCHOOL","113","397","410","380","515769","0.85","2"
"14K586","LYONS COMMUNITY SCHOOL","31","371","377","355","205730","0.92","1"
"14K610","AUTOMOTIVE HIGH SCHOOL","94","367","376","350","168856","0.85","3"
"14K632","FRANCES PERKINS ACADEMY","12","382","372","368","770235","0.78","3"
"14K685","EL PUENTE ACADEMY FOR PEACE AND JUSTICE","28","359","335","341","688392","0.92","4"
"15K429","BROOKLYN SCHOOL FOR GLOBAL STUDIES","52","361","367","383","718798","0.92","1"
"15K448","BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES","76","393","399","387","724775","0","3"
"15K462","SECONDARY SCHOOL FOR LAW","59","398","411","394","637125","0","3"
"15K463","SECONDARY SCHOOL FOR JOURNALISM","58","397","391","381","702205","0","4"
"15K464","PARK SLOPE COLLEGIATE","72","379","416","380","681987","0.85","1"
"15K497","SCHOOL FOR INTERNATIONAL STUDIES","64","405","415","392","713236","0.85","4"
"15K519","COBBLE HILL SCHOOL OF AMERICAN STUDIES","77","398","402","385","716876","0",""
"15K520","PACIFIC HIGH SCHOOL","9","352","341","300","619586","0.92","4"
"15K530","METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL","28","368","365","368","660911","0.85","4"
"15K698","SOUTH BROOKLYN COMMUNITY HIGH SCHOOL","8","430","416","425","203427","0.92","2"
"16K393","FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL","20","355","355","358","773581","0","4"
"16K455","BOYS AND GIRLS HIGH SCHOOL","131","365","370","362","573714","0.78","4"
"16K498","BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY","46","362","372","358","669948","0.78","2"
"16K594","GOTHAM PROFESSIONAL ARTS ACADEMY","36","370","372","351","147508","0","2"
"17K382","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL","59","396","374","369","641887","0.92","4"
"17K408","ACADEMY OF HOSPITALITY AND TOURISM","57","352","342","351","770770","0.85","3"
"17K489","W.E.B. DUBOIS ACADEMIC HIGH SCHOOL","7","394","364","334","974876","0.85","1"
"17K524","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS","71","287","335","291","753042","0.85",""
"17K528","THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP","46","403","385","388","963941","0","4"
"17K531","SCHOOL FOR HUMAN RIGHTS, THE","35","348","381","359","626205","0.85","4"
"17K533","SCHOOL FOR DEMOCRACY AND LEADERSHIP","38","377","404","372","534601","0.78","4"
"17K537","HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS","73","338","349","340","613892","0.85","1"
"17K539","HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS","61","362","375","368","513499","0.78","3"
"17K543","SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS","69","457","462","441","999398","0.85",""
"17K544","INTERNATIONAL ARTS BUSINESS SCHOOL","54","386","391","369","637954","0.78","2"
"17K546","HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW","79","418","441","414","936098","0","2"
"17K547","BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT","63","388","382","373","364993","0.85","2"
