"dbn","school_name","num_of_sat_test_takers","sat_critical_reading_avg_score","sat_math_avg_score","sat_writing_avg_score","internal_school_id","contact_extension","pct_students_tested","academic_tier_rating"
"02M620",NORMAN THOMAS HIGH SCHOOL,"154","370","379","359",655935,x345,,
"02M625",HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,"191","395","382","376",754225,x234,,2.0
"02M630",ART AND DESIGN HIGH SCHOOL,"270","444","441","430",850641,x234,"85%",
"02M655",LIFE SCIENCES SECONDARY SCHOOL,"61","409","424","403",885497,x345,"92%",2.0
"03M283",MANHATTAN THEATRE LAB HIGH SCHOOL,"27","406","379","408",413786,x234,"85%",3.0
"03M299","HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","49","374","384","374",737942,x234,,1.0
"03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE","41","384","390","370",448562,x345,"78%",4.0
"03M402",THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s,s,699396,x345,"78%",3.0
"03M403",THE GLOBAL LEARNING COLLABORATIVE,s,s,s,s,453954,x345,"78%",1.0
"03M404",INNOVATION DIPLOMA PLUS,"12","416","403","381",954823,x345,"92%",4.0
"03M415",WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,"32","371","850","370",365679,,"78%",4.0
"03M417",FRANK MCCOURT HIGH SCHOOL,s,s,s,s,355018,x345,"85%",4.0
"03M470",LOUIS D. BRANDEIS HIGH SCHOOL,"131","370","390","358",731158,x234,,4.0
"03M479",BEACON HIGH SCHOOL,"261","577","575","592",678328,x234,"92%",2.0
"03M485",FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,"531","566","564","577",567972,x345,"92%",3.0
"03M492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","66","396","398","402",778640,x345,"92%",2.0
"03M494",HIGH SCHOOL OF ARTS AND TECHNOLOGY,"75","433","433","411",921952,,"85%",1.0
"03M505",EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,"35","401","369","351",635847,x234,"92%",3.0
"03M541",MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,"111","473","506","467",955192,x123,"78%",2.0
"03M577",YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s,s,412494,,"85%",2.0
"03M860",FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,"43","356","379","361",503561,x345,"92%",2.0
"04M409",COALITION SCHOOL FOR SOCIAL CHANGE,"48","354","357","373",379117,x123,"92%",3.0
"04M435",MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,"375","461","514","455",292563,x123,"85%",1.0
"04M495",PARK EAST HIGH SCHOOL,"51","373","379","376",671970,,,2.0
"04M555",CENTRAL PARK EAST HIGH SCHOOL,"73","405","421","395",970677,x345,"78%",2.0
"04M610",YOUNG WOMEN'S LEADERSHIP SCHOOL,"70","432","446","448",880781,x234,"92%",1.0
"04M635",ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,"48","369","369","357",968745,x234,"92%",2.0
"04M680","HERITAGE SCHOOL, THE","31","358","351","345",141965,,"78%",3.0
"05M285",HARLEM RENAISSANCE HIGH SCHOOL,"29","357","318","333",737575,x234,"92%",3.0
"05M304",MOTT HALL HIGH SCHOOL,"54","413","399","398",296405,x123,"78%",2.0
"05M362","COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,s,206377,x234,,4.0
"05M367",ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,"33","354","366","342",680647,x345,"78%",3.0
"05M369",URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,"56","360","353","364",442306,x234,"85%",3.0
"05M469",CHOIR ACADEMY OF HARLEM,"20","354","360","385",594021,x234,"85%",4.0
"05M499",FREDERICK DOUGLASS ACADEMY,"214","458","474","442",813534,x123,"92%",1.0
"05M670",THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,"66","396","402","404",530977,x345,"92%",3.0
"05M685",BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,"61","369","361","355",371377,x123,,
"05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE","101","605","654","588",302370,,"78%",1.0
"06M293",CITY COLLEGE ACADEMY OF THE ARTS,"60","408","446","416",604767,x234,,3.0
"06M346",COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,"55","362","376","367",654733,,,2.0
"06M348",WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,"70","380","395","399",339162,x123,"78%",1.0
"06M423",HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s,s,973050,x123,"92%",
"06M457",GEORGE WASHINGTON YABC,"7","394","357","346",381754,,"92%",4.0
"06M462",HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,"76","365","384","378",933430,,,
"06M463",HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,"63","369","380","349",131970,x123,"92%",3.0
"06M467",HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,"94","363","378","361",344969,x234,"78%",2.0
"06M468",HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,"24","400","422","402",842071,x123,"78%",1.0
"06M540",A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,"228","430","456","423",547675,x123,"78%",3.0
"06M552",GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,"56","339","349","326",603045,,"78%",2.0
"07X221",SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,"65","364","378","348",277389,x345,"92%",
"07X321",CROTONA ACADEMY HIGH SCHOOL,"9","379","364","382",821462,,"92%",4.0
"07X334",INTERNATIONAL COMMUNITY HIGH SCHOOL,"34","310","324","311",791798,,"85%",4.0
"07X379",JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s,s,282379,x345,"92%",
"07X381",BRONX HAVEN HIGH SCHOOL,s,s,s,s,540360,x234,"78%",4.0
"07X427",COMMUNITY SCHOOL FOR SOCIAL JUSTICE,"43","361","359","357",460390,x234,"92%",1.0
"07X473",MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,"63","351","375","371",922114,x345,"78%",1.0
"07X495",UNIVERSITY HEIGHTS SECONDARY SCHOOL,"79","403","394","404",913548,x234,"85%",3.0
"07X500",HOSTOSsLINCOLN ACADEMY OF SCIENCE,"66","420","426","411",852272,x123,"85%",2.0
"07X520",FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,"64","399","396","391",458204,x345,,3.0
"07X527",BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,"62","362","378","363",553153,x345,,4.0
"07X547",NEW EXPLORERS HIGH SCHOOL,"28","367","356","361",113401,x123,"92%",
"07X548",URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,"44","387","411","383",875037,x345,,2.0
"07X551",BRONX ACADEMY OF LETTERS,"51","413","381","407",412580,x234,"92%",3.0
"07X600",ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"76","394","400","364",327975,x123,"78%",1.0
"07X655",SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"47","398","416","370",723932,,,1.0
"07X670",HEALTH OPPORTUNITIES HIGH SCHOOL,"114","363","368","364",599605,x345,"85%",
"08X269",BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s,s,720196,x345,"92%",
"08X282",WOMEN'S ACADEMY OF EXCELLENCE,"44","407","386","378",620873,x345,,2.0
"08X293",RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,"52","384","385","389",908269,x123,"78%",2.0
"08X295",GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,"41","416","390","394",939020,,"78%",
"08X305",PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,"67","337","361","340",159654,x123,"78%",2.0
"08X312",MILLENNIUM ART ACADEMY,"67","387","402","375",635239,x234,"78%",1.0
"08X332",HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,"39","363","371","350",953485,x123,"78%",1.0
"08X367","ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s,s,386522,x234,"85%",1.0
"08X376","ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s,s,314160,,,3.0
"08X377",BRONX COMMUNITY HIGH SCHOOL,"9","367","369","376",146673,x123,,
"08X405",HERBERT H. LEHMAN HIGH SCHOOL,"415","412","436","393",534496,x234,"92%",2.0
"08X408",HERBERT H. LEHMAN YABC,"6","402","373","413",399276,x123,"85%",2.0
"08X432",BRONX BRIDGES HIGH SCHOOL,s,s,s,s,108789,,"78%",1.0
"08X452",BRONX GUILD,"39","369","371","365",915453,x234,,1.0
"08X507",STEVENSON YABC,s,s,s,s,115369,,"85%",
"08X519","FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE","68","373","370","356",719359,,,3.0
"08X530",BANANA KELLY HIGH SCHOOL,"54","373","381","377",189134,x345,"92%",3.0
"08X537",BRONX ARENA HIGH SCHOOL,s,s,s,s,285492,x234,"78%",2.0
"08X540",SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,"16","366","400","368",504978,,"78%",4.0
"08X560",HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,"9","404","368","399",906309,x234,"78%",2.0
"08X650",JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,"78","377","359","376",411110,x234,"78%",
"09X227",BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,"39","324","376","349",958742,x123,"92%",
"09X231",EAGLE ACADEMY FOR YOUNG MEN,"78","373","387","374",831788,x123,"78%",4.0
"09X239","URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE","33","372","355","357",746616,x345,"85%",4.0
"09X241","URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE","80","411","464","415",430330,x234,"85%",2.0
"09X250",EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,"50","393","394","382",183756,x345,"78%",4.0
"09X252",MOTT HALL BRONX HIGH SCHOOL,"67","369","367","356",183078,x345,"85%",4.0
"09X260",BRONX CENTER FOR SCIENCE AND MATHEMATICS,"81","459","480","457",840464,x234,"85%",
"09X263",VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,"74","356","363","356",250874,x123,"92%",
"09X276",LEADERSHIP INSTITUTE,"30","361","353","367",601974,x234,"85%",3.0
"09X297",MORRIS ACADEMY FOR COLLABORATIVE STUDIES,"38","386","386","376",593297,x123,"92%",1.0
"09X324",BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s,s,120251,x234,"85%",3.0
"09X329",DREAMYARD PREPARATORY SCHOOL,"51","382","365","391",559037,x234,"85%",4.0
"09X365",ACADEMY FOR LANGUAGE AND TECHNOLOGY,"54","315","339","297",289455,,,1.0
"09X403",BRONX INTERNATIONAL HIGH SCHOOL,"49","314","312","339",792726,x345,"78%",4.0
"09X404",SCHOOL FOR EXCELLENCE,"32","363","360","351",738581,x234,"85%",2.0
"09X412",BRONX HIGH SCHOOL OF BUSINESS,"34","356","376","351",160081,x234,"85%",1.0
"09X413",BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,"64","400","419","402",769242,,"92%",4.0
"09X414",JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,"35","379","364","379",270670,x123,"85%",2.0
"09X505","BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","80","404","418","402",568598,x345,,4.0
"09X517",FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,"50","368","384","369",898217,x345,"85%",3.0
"09X525",BRONX LEADERSHIP ACADEMY HIGH SCHOOL,"114","384","394","388",906925,x234,"92%",1.0
"09X543",HIGH SCHOOL FOR VIOLIN AND DANCE,"27","353","315","371",788221,x345,"85%",
"10X141",RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),"113","438","455","440",718131,x123,"78%",
"10X213",BRONX ENGINEERING AND TECHNOLOGY ACADEMY,"86","373","412","365",163342,x345,,4.0
"10X225",THEATRE ARTS PRODUCTION COMPANY SCHOOL,"59","405",-10,"394",827176,x345,"78%",
"10X237","THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS","79","382","393","382",652542,x345,"78%",1.0
"10X243",WEST BRONX ACADEMY FOR THE FUTURE,"26","382","406","370",532813,x123,"92%",2.0
"10X268",KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,"52","304","356","302",127586,x234,"92%",2.0
"10X284",BRONX SCHOOL OF LAW AND FINANCE,"54","402","395","385",105294,x123,,2.0
"10X319",PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s,172549,x345,"92%",
"10X342",INTERNATIONAL SCHOOL FOR LIBERAL ARTS,"49","300","333","301",421471,x123,"78%",
"10X368",INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),"111","390","408","383",503135,,"85%",3.0
"10X374",KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),"61","392","401","387",909525,x345,,2.0
"10X397",ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),"38","343","356","330",567351,x123,"78%",
"10X433",HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,"57","370","371","365",538852,x345,"85%",1.0
"10X434",BELMONT PREPARATORY HIGH SCHOOL,"51","404","418","400",730850,,"78%",
"10X437",FORDHAM HIGH SCHOOL FOR THE ARTS,"48","355","350","372",438977,,"85%",
"10X438",FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,"63","367","385","367",918302,x345,"78%",4.0
"10X439",BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,"65","366","364","352",869041,x234,,2.0
"10X440",DEWITT CLINTON HIGH SCHOOL,"443","419","426","410",367828,x234,"85%",
"10X442","CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE","52","423","420","427",202180,x345,,1.0
"10X445",BRONX HIGH SCHOOL OF SCIENCE,"731","632","688","649",816688,,,
"10X475",JOHN F. KENNEDY HIGH SCHOOL,"109","351","362","339",828171,x345,"78%",3.0
"10X477",MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,"99","414","435","414",782106,x345,"78%",3.0
"10X478",LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,s,405704,x345,"85%",
"10X546",BRONX THEATRE HIGH SCHOOL,"68","348","362","354",794120,x345,"78%",4.0
"10X549",DISCOVERY HIGH SCHOOL,"55","372","379","364",410088,x234,,
"10X660",GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"73","362","382","356",370212,,"85%",
"10X667",GRACE DODGE YABC,"10","350","356","317",220963,x345,,4.0
"10X696",HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,"92","636","648","636",276137,x345,,1.0
"11X249",BRONX HEALTH SCIENCES HIGH SCHOOL,"74","370","381","382",264250,,,4.0
"11X253",BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,"46","400","357","390",176092,x123,,3.0
"11X265",BRONX LAB SCHOOL,"81","377","391","367",350123,x123,"78%",4.0
"11X270",ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,"56","386","394","361",112591,x234,"85%",3.0
"11X275",HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,"72","381","376","354",244509,x123,,3.0
"11X288",COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,"97","444","471","433",929871,,"92%",3.0
"11X290",BRONX ACADEMY OF HEALTH CAREERS,"69","387","365","383",465490,x345,"78%",4.0
"11X299",ASTOR COLLEGIATE ACADEMY,"60","387","391","391",421151,x345,"92%",
"11X415",CHRISTOPHER COLUMBUS HIGH SCHOOL,"121","367","361","353",222860,x345,,
"11X417",YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s,766286,x123,"92%",4.0
"11X418",BRONX HIGH SCHOOL FOR THE VISUAL ARTS,"48","419","433","416",754398,x345,"78%",
"11X455",HARRY S TRUMAN HIGH SCHOOL,"189","386","397","368",913285,x234,"78%",1.0
"11X456",LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s,s,436202,,,4.0
"11X513",NEW WORLD HIGH SCHOOL,"72","332","381","335",406117,x345,"78%",3.0
"11X514",THE BRONXWOOD PREPARATORY ACADEMY,"48","377","372","363",364885,,"85%",2.0
"11X541",GLOBAL ENTERPRISE HIGH SCHOOL,"57","372","382","375",781847,x234,"85%",4.0
"11X542",PELHAM PREPARATORY ACADEMY,"76","431","438","419",229514,,,2.0
"11X544",HIGH SCHOOL FOR CONTEMPORARY ARTS,"55","383","378","365",330785,,"92%",4.0
"11X545",BRONX AEROSPACE HIGH SCHOOL,"46","388","393","382",312943,x234,,2.0
"12X245",NEW DAY ACADEMY,"25","348","344","354",827833,x234,"85%",2.0
"12X248","METROPOLITAN HIGH SCHOOL, THE","49","347","367","341",653086,,"85%",1.0
"12X251",EXPLORATIONS ACADEMY,"57","381","381","360",183547,x345,,2.0
"12X262",PERFORMANCE CONSERVATORY HIGH SCHOOL,"30","361","353","360",105176,x123,"85%",
"12X267",BRONX LATIN,"36","408","432","411",871863,,"85%",1.0
"12X271",EAST BRONX ACADEMY FOR THE FUTURE,"46","366","378","358",267221,,,3.0
"12X278",PEACE AND DIVERSITY ACADEMY,"34","390","401","364",461474,,"85%",3.0
"12X388",PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,"30","321","351","298",963012,x234,"85%",3.0
"12X428",LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s,s,714682,x123,"92%",
"12X446",ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,"14","380","372","349",744847,x123,"78%",4.0
"12X478",THE CINEMA SCHOOL,s,s,s,s,153298,x345,"85%",
"12X479",BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s,454198,x123,"85%",1.0
"12X480",BRONX REGIONAL HIGH SCHOOL,"16","398","385","398",820126,x123,,3.0
"12X550",HIGH SCHOOL OF WORLD CULTURES,"42","304","323","312",502593,x234,"85%",3.0
"12X682",FANNIE LOU HAMER FREEDOM HIGH SCHOOL,"72","342","346","341",620341,,,3.0
"12X684",WINGS ACADEMY,"66","378","374","362",622580,x345,,
"12X690",MONROE ACADEMY FOR BUSINESS/LAW,"31","375","387","376",489113,x123,"92%",2.0
"12X692",MONROE ACADEMY FOR VISUAL ARTS & DESIGN,"43","332","357","349",120278,x234,,2.0
"13K265",DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,"29","352","349","373",428147,,,1.0
"13K336",ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,"9","439","374","418",854662,x345,"78%",2.0
"13K350",URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,"52","360","364","356",185326,x123,"78%",1.0
"13K412","BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA","37","375","355","384",714886,,"78%",3.0
"13K419","SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS","92","399","417","395",160939,x234,"92%",3.0
"13K430",BROOKLYN TECHNICAL HIGH SCHOOL,"1277","587","659","587",898973,x234,,4.0
"13K439",BROOKLYN INTERNATIONAL HIGH SCHOOL,"90","305","364","312",220419,,,
"13K483",THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,"105","400","417","389",702270,x234,"92%",2.0
"13K499",ACORN COMMUNITY HIGH SCHOOL,"72","384","364","368",987014,x234,"92%",1.0
