dbn,school_name,num_test_takers,sat_reading,sat_math,sat_writing,academic_tier_rating
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,2
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,2
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,2
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,3
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,4
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,,,4
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,,,,2
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,,,1
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,2
02M449,VANGUARD HIGH SCHOOL,72,395,416,388,4
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,3
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,3
02M473,WASHINGTON IRVING YABC,,,,,3
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,4
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,4
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,2
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,4
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,2
02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335,3
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,4
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,3
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477,4
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,4
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,1
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343,1
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,4
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,4
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,1
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426,1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390,4
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,2
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430,
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,2
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,3
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,1
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,4
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,,,,3
03M403,THE GLOBAL LEARNING COLLABORATIVE,,,,,1
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,4
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,,370,4
03M417,FRANK MCCOURT HIGH SCHOOL,,,,,4
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358,4
03M479,BEACON HIGH SCHOOL,261,577,575,592,2
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577,3
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402,2
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411,1
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351,3
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467,2
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,,,,,2
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361,2
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373,3
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455,1
04M495,PARK EAST HIGH SCHOOL,51,373,379,376,2
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395,2
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,2
04M680,"HERITAGE SCHOOL, THE",31,358,351,345,3
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,3
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,2
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",,,,,4
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342,3
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364,3
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385,4
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442,1
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404,3
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355,
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416,3
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367,2
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399,1
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,,,,,
06M457,GEORGE WASHINGTON YABC,7,394,357,346,4
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378,
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349,3
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,2
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,1
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,3
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326,2
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,4
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,4
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,,,,,
07X381,BRONX HAVEN HIGH SCHOOL,,,,,4
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,1
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371,1
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404,3
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411,2
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,3
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363,4
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361,
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,2
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407,3
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,1
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,1
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,,,,
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378,2
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389,2
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394,
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,2
08X312,MILLENNIUM ART ACADEMY,67,387,402,375,1
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,1
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,,,,1
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",,,,,3
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376,
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,2
08X408,HERBERT H. LEHMAN YABC,6,402,373,413,2
08X432,BRONX BRIDGES HIGH SCHOOL,,,,,1
08X452,BRONX GUILD,39,369,371,365,1
08X507,STEVENSON YABC,,,,,
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356,3
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,3
08X537,BRONX ARENA HIGH SCHOOL,,,,,2
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,4
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,2
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349,
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374,4
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357,4
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415,2
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382,4
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,4
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457,
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356,
09X276,LEADERSHIP INSTITUTE,30,361,353,367,3
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376,1
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,,,,,3
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391,4
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297,1
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339,4
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351,2
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351,1
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402,4
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379,2
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402,4
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369,3
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,1
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440,
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365,4
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,,394,
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382,1
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370,2
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,2
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385,2
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,,,,,
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301,
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383,3
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387,2
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330,
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,1
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367,4
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,2
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,1
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339,3
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414,3
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,,,,,
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,4
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,
10X667,GRACE DODGE YABC,10,350,356,317,4
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,1
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,4
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,3
11X265,BRONX LAB SCHOOL,81,377,391,367,4
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,3
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,3
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,3
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,4
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,,,,,4
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,1
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,,,,,4
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,3
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,2
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,4
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,2
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,4
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,2
12X245,NEW DAY ACADEMY,25,348,344,354,2
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,1
12X251,EXPLORATIONS ACADEMY,57,381,381,360,2
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,
12X267,BRONX LATIN,36,408,432,411,1
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,3
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,3
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,3
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,,,,,
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,4
12X478,THE CINEMA SCHOOL,,,,,
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,,,,,1
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,3
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,3
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341,3
12X684,WINGS ACADEMY,66,378,374,362,
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376,2
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349,2
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,1
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418,2
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,1
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384,3
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395,3
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,4
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,2
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368,1
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403,3
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,,,,2
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,2
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,1
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431,
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,,,,,
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,3
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413,1
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359,4
14K322,FOUNDATIONS ACADEMY,,,,,
14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381,
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570,2
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396,3
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,4
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,1
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,4
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,4
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,4
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,2
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355,1
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,3
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,3
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341,4
14K923,AUTOMOTIVE HIGH SCHOOL YABC,,,,,
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383,1
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,3
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394,3
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381,4
15K464,PARK SLOPE COLLEGIATE,72,379,416,380,1
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,4
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,
15K520,PACIFIC HIGH SCHOOL,9,352,341,300,4
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,,,,,4
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,4
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,,411,
15K667,SUNSET PARK HIGH SCHOOL,,,,,
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,2
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358,4
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,4
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358,2
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351,2
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,,,,3
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369,4
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,3
17K467,ERASMUS YABC,,,,,4
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,1
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,4
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,4
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372,4
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,1
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,3
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369,2
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,2
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,2
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,1
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,3
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,3
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355,4
17K751,ACADEMY FOR HEALTH CAREERS,,,,,1
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,4
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,1
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,1
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,2
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,3
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,2
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,3
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,3
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,3
18K635,OLYMPUS ACADEMY,7,400,370,370,4
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,
18K642,URBAN ACTION ACADEMY,40,376,385,374,2
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,2
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,2
19K420,FRANKLIN K. LANE HIGH SCHOOL,,,,,3
19K431,THOMAS JEFFERSON YABC,,,,,2
